season,episode,kevin_score,demi_score,guest_score,imdb_score,pop_ref,paris,emily,lane,mrskim
2,2.06 Presenting Lorelai Gilmore,9,8,8,8.4,28,N,Y,Y,N
2,"2.07 Like Mother, Like Daughter",8,9,9,8.4,28,Y,Y,N,N
2,2.08 The Ins and Outs of Inns,8,8,8,8.1,15,N,Y,Y,N
2,2.09 Run Away Little Boy,9,7,0,8.2,23,Y,N,Y,Y
2,2.10 The Bracebridge Dinner,9,9,0,8.8,24,Y,Y,Y,Y
2,2.11 Secrets and Loans,7,6,6,7.8,15,Y,Y,Y,Y
2,2.12 Richard in Stars Hollow,10,6,7,8.1,14,Y,Y,N,N
2,"2.13 A-Tisket, A-Tasket",7,6,7.5,8.5,21,N,Y,Y,Y
2,2.14 It Should Have Been Lorelai,8,8,0,8.1,22,Y,Y,Y,Y
2,2.15 Lost and Found,6,6,0,8.2,25,N,N,N,N
2,2.16 There's the Rub,7,7,8,8.5,18,Y,Y,N,N
2,2.17 Dead Uncles and Vegetables,5,5,5,8.2,16,N,Y,N,N
2,2.18 Back in the Saddle Again,8,7,0,8.1,20,Y,Y,Y,N
2,2.19 Teach Me Tonight,8,6,7.4,8.6,39,N,N,Y,N
2,2.20 Help Wanted,8,8,0,8.2,17,N,Y,Y,Y
2,2.21 Lorelai's Graduation Day,8,9,9,8.7,30,Y,Y,Y,N
2,2.22 I Can't Get Started,9,9,10,8.8,29,Y,Y,Y,N
3,3.01 Those Lazy-Hazy-Crazy Days,7,7,0,8.3,32,Y,Y,N,Y
3,3.02 Haunted Leg,7,7,6,8.2,25,Y,Y,N,N
3,3.03 Application Anxiety,7,7,0,8,51,Y,Y,Y,N
3,3.04 One's Got Class and the Other One Dyes,7,5,6.5,8.2,28,N,N,Y,Y
3,3.05 Eight O'Clock at the Oasis,6,5,10,8,14,N,Y,N,N
3,3.06 Take the Deviled Eggs...,6.8,7,0,8.1,25,N,N,Y,N
3,"3.07 They Shoot Gilmores, Don't They?",10,9,10,9,21,Y,Y,Y,Y
3,3.08 Let the Games Begin,9,9,8.5,8.5,18,N,Y,N,N
3,3.09 A Deep-Fried Korean Thanksgiving,9,9,8.5,8.6,19,Y,Y,Y,Y
3,3.10 That'll Do Pig,8,6,6,8.2,15,Y,Y,Y,N
3,3.11 I Solemnly Swear,7,7,6,7.8,16,Y,Y,N,N
3,3.12 Lorelai Out of Water,5,5,4,7.9,18,Y,N,Y,Y
3,3.13 Dear Emily and Richard,8,9,0,8.6,30,Y,Y,Y,N
3,3.14 Swan Song,9,6,8.5,8.1,30,N,Y,Y,Y
3,3.15 Face-Off,7.5,7,0,8.2,13,N,Y,Y,Y
3,3.16 The Big One,8.5,9,10,8.6,19,Y,N,Y,N
3,3.17 A Tale of Poes and Fire,7,8,7,8.2,22,Y,N,Y,Y
3,3.18 Happy Birthday Baby,8,7,0,8.2,20,Y,Y,Y,N
3,3.19 Keg! Max!,9,9,8,8.4,25,Y,N,Y,N
3,"3.20 Say Goodnight, Gracie",8,6.5,10,8.2,22,Y,Y,Y,Y
3,3.21 Here Comes the Son,4,4,3,8,33,Y,Y,Y,N
3,"3.22 Those are Strings, Pinocchio",8.5,10,9,9,26,Y,Y,Y,N
4,4.01 Ballrooms and Biscotti,7.864,7,6,8.2,28,N,Y,N,N
4,4.02 The Lorelai's First Day at Yale,8,9,7,8.8,27,Y,N,N,N
4,"4.03 The Hobbit, the Sofa, and Digger Stiles",7,7,7.5,8.1,12,Y,Y,Y,N
4,4.04 Chicken or Beef?,9,8,9,8.1,25,N,N,Y,N
4,4.05 The Fundamental Things Apply,6.8,6,6,8.1,31,Y,Y,Y,N
4,4.06 An Affair to Remember,9,7,8,8.1,17,Y,Y,N,N
4,4.07 The Festival of Living Art,7,9,7,8.3,29,N,N,Y,N
4,"4.08 Die, Jerk",8,8,8,7.8,22,Y,Y,Y,Y
4,4.09 Ted Koppel's Big Night Out,9,7,8,8.2,16,Y,Y,Y,N
4,4.10 The Nanny and the Professor,7,8,5,8,12,Y,Y,Y,N
4,4.11 In the Clamor and the Clangor,8,9,9,8.3,22,Y,N,Y,Y
4,4.12 A Family Matter,7,8,0,8.1,24,Y,Y,Y,Y
4,4.13 Nag Hammadi Is Where They Found the Gnostic Gospels,8,9,6,8.4,17,N,Y,Y,N
4,4.14 The Incredible Sinking Lorelais,9,9,9,8.7,10,Y,Y,Y,Y
4,4.15 Scene in a Mall,8.5,8,6,8.4,17,Y,Y,Y,Y
4,4.16 The Reigning Lorelai,10,8,10,8.3,12,N,Y,Y,N
4,"4.17 Girls in Bikinis, Boys doin' the Twist",6,7,8,8.2,13,Y,N,N,N
4,"4.18 Tick, Tick, Tick, Boom!",9,8,59,8.3,21,N,Y,Y,N
4,4.19 Afterboom,7,7,7,8.2,10,Y,Y,Y,Y
4,4.20 Luke Can See Her Face,8,8.5,7,8.8,15,Y,N,N,N
4,"4.21 Last Week Fights, This Week Tights",9,10,9.5,9,17,Y,Y,Y,Y
4,4.22 Raincoats and Recipes,10,10,10,9.2,11,N,Y,Y,N
5,5.01 Say Goodbye to Daisy Miller,8.5,8.5,8.75,8.3,16,N,Y,Y,N
5,"5.02 A Messenger, Nothing More",7,7.5,7.5,8.1,24,N,Y,Y,N
5,5.03 Written in the Stars,10,10,0,8.5,23,Y,Y,N,N
5,5.04 Tippecanoe and Taylor Too,7,9,0,8.1,31,Y,N,Y,N
5,5.05 We Got Us a Pippi Virgin,8.5,8,8,8.1,29,N,Y,Y,N
5,"5.06 Norman Mailer, I'm Pregnant!",8,7,8,8,33,Y,N,N,N
5,"5.07 You Jump, I Jump, Jack",8,7.5,5,8.7,23,N,Y,Y,N
5,5.08 The Party's Over,7,7.5,8,8.1,11,Y,Y,Y,Y
5,5.09 Emily Says 'Hello',10,8.5,9.5,8.1,24,Y,Y,N,N
5,5.10 But Not as Cute as Pushkin,6.5,6.5,4,8.4,13,Y,N,N,N
5,5.11 Women of Questionable Morals,7,8,7,7.9,24,Y,Y,N,N
5,5.12 Come Home,7.5,6,6,8.1,31,Y,Y,Y,Y
5,5.13 Wedding Bell Blues,8.5,10,4,8.8,27,N,Y,Y,N
5,5.14 Say Something,9.5,10,8,8.7,20,Y,N,Y,N
5,5.15 Jews and Chinese Food,9,9,8,8.3,21,Y,N,N,N
5,5.16 So...Good Talk,9,8,7,8.7,23,N,Y,Y,Y
5,5.17 Pulp Friction,6,6,6,8.2,23,N,Y,N,N
5,5.18 To Live and Let Diorama,5.5,5,0,7.9,15,Y,N,Y,N
5,5.19 But I'm a Gilmore,8,8,7,8.5,19,Y,N,N,N
5,5.20 How Many Kropogs to Cape Code?,7,7,4,7.7,22,Y,Y,N,N
5,5.21 Blame Booze and Melville,8,6,7,8,20,N,Y,N,N
5,5.22 A House is not a Home,10,8,8.5,8.6,20,N,Y,Y,Y
6,6.01 New and Improved Lorelai,8,7,120,7.8,20,Y,Y,N,N
6,6.02 Fight Face,8,9,7.5,7.7,18,N,Y,N,N
6,6.03 The UnGraduate,8,7,6,7.6,28,Y,Y,Y,N
6,"6.04 Always a Godmother, Never a God",6.5,5,5,7.5,47,N,N,Y,N
6,6.05 We've Got Magic to Do,9,7,10,8.5,32,Y,Y,N,N
6,6.06 Welcome to the Dollhouse,5,5,5,8.1,13,N,Y,Y,N
6,6.07 Twenty-One is the Loneliest Number,10,9.5,0,8.1,20,Y,Y,Y,N
6,6.08 Let Me Hear Your Bailalaikas Ringing Out,8.5,9,8,8.5,28,N,Y,Y,N
6,6.09 The Prodigal Daughter Returns,8.5,7,9,8.6,15,N,Y,Y,N
6,6.10 He's Slippin' 'Em Bread...Dig?,6.5,5,7,7.6,44,Y,N,Y,N
6,6.11 The Perfect Dress,7,6.5,6.5,7.9,30,Y,N,Y,Y
6,6.12 Just Like Gwen and Gavin,7,7,7,7.9,20,Y,N,Y,Y
6,6.13 Friday Night's Alright for Fighting,10,10,10,9.1,21,Y,Y,N,N
6,6.14 You've Been Gilmored,6,7,5,8,23,Y,Y,N,N
6,6.15 A Vineyard Valentine,2,2,5,7.8,10,N,N,N,N
6,6.16 Bridesmaids Revisited,7,7,8,7.8,43,Y,N,Y,N
6,"6.17 I'm OK, You're OK",6,8,6,7.8,34,Y,Y,Y,Y
6,6.18 The Real Paul Anka,7,9,8,8.2,14,Y,Y,Y,Y
6,6.19 I Get A Sidekick Out of You,9,6,4,8.4,25,Y,N,Y,Y
6,6.20 Super Cool Party People,8.5,9.5,9,8,27,Y,N,N,N
6,6.21 Driving Miss Gilmore,8,8,0,8.1,32,Y,Y,N,N
6,6.22 Partings,10,8,5,8.4,32,N,Y,N,N
7,7.01 The Long Morrow,4,6.5,3,7.9,18,Y,N,N,N
7,"7.02 That's What You Get Folks, for Makin' Whoopee",3,4,5,7.5,51,N,N,Y,N
7,7.03 Lorelai's First Cotillion,6,7.5,6,7.7,11,Y,Y,Y,N
7,7.04 'S'Wonderful S'Marvelous,5.5,7,7,7.8,11,Y,Y,N,N
7,7.05 The Great Stink,5,6.5,4,7.6,32,Y,Y,N,N
7,7.06 Go Bulldogs!,3,6,2,7.5,21,Y,Y,Y,N
7,7.07 French Twist,3.5,7,0,7,21,Y,N,N,Y
7,7.08 Introducing Lorelai Planetarium,5,7,4,7.4,13,N,N,N,N
7,"7.09 Knit, People, Knit",4,7,3,7.6,14,Y,Y,N,N
7,7.10 Merry Fisticuffs,2.5,4.5,5.5,7.9,12,N,Y,N,N
7,7.11 Santa's Secret Stuff,7,8,8,7.7,17,N,N,Y,Y
7,7.12 To Whom It May Concern,7,5,6,8.1,9,Y,Y,N,N
7,7.13 I'd Rather Be In Philadelphia,4.5,5,5.5,8.1,26,N,Y,N,N
7,"7.14 Farewell, My Pet",6.9,8,0,7.9,23,Y,Y,Y,N
7,"7.15 I'm A Kayak, Hear Me Roar",,,,8,14,Y,Y,N,N
